MONTHLY SUMMARY
Month,Shipping,$0.50 per Pick,$2 Order Fee,$2.00 Order Fee,Packaging,Master Carton on Shelf Storage,Medium Bin Storage,Pallet Storage,Small Bin Storage,Account Management Fee,Ad-hoc,Total
2026-03-26,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500256562,,,5.68
2026-03-26,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500256784,,,4.88
2026-03-26,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500256791,,,5.17
2026-03-26,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500256807,,,5.91
2026-03-26,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420850209261290400217415255533,,,7.44
2026-03-26,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420974719261290400217415290626,,,5.94
2026-03-27,,,2026-03,charge,Packaging,4x4x4,9214490374015500258399,,1,0.36
2026-03-27,,,2026-03,charge,Packaging,4x4x4,9214490374015500258405,,1,0.36
2026-03-27,,,2026-03,charge,Packaging,#1 Bubble Mailer,420907239261290400217415265624,,1,0.36
2026-03-27,,,2026-03,charge,Packaging,#1 Bubble Mailer,9214490374015500258412,,1,0.36
2026-03-27,,,2026-03,charge,Packaging,#2 Bubble Mailer,9214490374015500258429,,1,0.39
2026-03-27,,,2026-03,charge,Packaging,#1 Bubble Mailer,9214490374015500258436,,1,0.36
2026-03-27,,,2026-03,charge,Pick/Pack,$2 Order Fee,420726359261290400217415255557,,1,2.00
2026-03-27,,,2026-03,charge,Pick/Pack,$0.50 per Pick,420726359261290400217415255557,,2,1.00
2026-03-27,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500258399,,1,2.00
2026-03-27,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500258399,,2,1.00
2026-03-27,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500258405,,1,2.00
2026-03-27,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500258405,,1,0.50
2026-03-27,,,2026-03,charge,Pick/Pack,$2 Order Fee,420907239261290400217415265624,,1,2.00
2026-03-27,,,2026-03,charge,Pick/Pack,$0.50 per Pick,420907239261290400217415265624,,2,1.00
2026-03-27,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500258412,,1,2.00
2026-03-27,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500258412,,3,1.50
2026-03-27,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500258429,,1,2.00
2026-03-27,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500258429,,2,1.00
2026-03-27,,,2026-03,charge,Pick/Pack,$2 Order Fee,9214490374015500258436,,1,2.00
2026-03-27,,,2026-03,charge,Pick/Pack,$0.50 per Pick,9214490374015500258436,,1,0.50
